generation,N_shifts,logPrior,logLik,eventRate,acceptRate
40170000,7,-6.03866,6663.05,0.449774,0.085
40172000,7,-7.34439,6663.33,0.812963,0.087
40174000,7,-8.39199,6663.12,0.80662,0.0645
40176000,7,-17.0554,6665.77,6.2199,0.0825
40178000,7,-8.06802,6665.19,0.797592,0.085
40180000,7,-9.18394,6662.59,1.33606,0.075
40182000,7,-7.92386,6662.34,0.151976,0.0795
40184000,7,-9.36606,6655.1,0.448325,0.091
40186000,7,-5.38254,6662.25,0.0434328,0.0795
40188000,7,-7.63879,6661.36,1.72836,0.0735
40190000,7,-5.3785,6665.25,0.214932,0.093
40192000,7,-7.71739,6665.84,1.37423,0.0825
40194000,7,-7.92563,6665.02,0.802405,0.082
40196000,7,-6.11541,6666.46,2.08467,0.087
40198000,7,-5.26115,6667.09,1.38779,0.085
40200000,7,-5.43905,6666.88,0.208992,0.0855
40202000,8,-4.69201,6717.31,0.222243,0.0861
40204000,8,-6.27283,6721.7,1.87,0.085
40206000,7,-5.85768,6665.45,0.693933,0.0775
40208000,7,-8.4445,6660.36,1.82181,0.082
40210000,7,-6.19777,6663.6,1.40398,0.081
40212000,7,-8.18448,6661.33,1.95239,0.0745
40214000,7,-10.1364,6661.15,1.09589,0.0925
40216000,7,-7.62557,6660.66,0.0391416,0.0725
40218000,7,-11.6195,6664.84,1.40576,0.08
40220000,7,-10.3095,6662.98,0.623021,0.078
40222000,8,-18.3948,6721.53,5.72609,0.0836111
40224000,8,-11.1084,6716.55,0.608685,0.085
40226000,8,-15.8948,6717.86,0.648427,0.0925
40228000,8,-6.84348,6713.49,0.382192,0.1005
40230000,8,-6.05017,6720.85,1.19007,0.083
40232000,8,-14.2359,6718.52,1.30422,0.0905
40234000,8,-10.1145,6716.67,0.149621,0.094
40236000,8,-7.97629,6713,1.45502,0.082
40238000,8,-11.9684,6716.87,0.434577,0.0985
40240000,8,-11.9314,6717.41,0.715357,0.0815
40242000,8,-8.32773,6713.87,0.301254,0.0765
40244000,8,-7.42486,6712.76,1.26158,0.075
40246000,8,-9.70941,6717.54,0.433631,0.091
40248000,8,-9.17668,6721.34,0.907864,0.0915
40250000,8,-6.99304,6723.27,0.370367,0.087
40252000,8,-6.24966,6722.9,0.783346,0.08
40254000,7,-6.58787,6662.58,1.62425,0.0842353
40256000,8,-8.3597,6716.66,0.943275,0.0905
40258000,8,-8.20913,6721.16,1.59632,0.0985
40260000,7,-7.35958,6665.16,2.04451,0.0926667
40262000,7,-6.67843,6662.12,0.0183561,0.0905
40264000,7,-8.59738,6663.27,1.15819,0.092
40266000,7,-6.48428,6664.78,0.964971,0.0835
40268000,7,-8.35555,6662.16,1.04065,0.0865
40270000,7,-6.43513,6664.82,0.341058,0.09
40272000,7,-8.04301,6665.81,0.192131,0.094
40274000,8,-5.269,6721.76,0.522799,0.0925
40276000,8,-4.48239,6723.84,0.843165,0.1055
40278000,8,-7.62161,6722.52,0.990043,0.084
40280000,8,-8.82198,6721.94,1.25034,0.09
40282000,8,-7.44329,6719.91,0.0840448,0.091
40284000,8,-8.95849,6722.49,0.0438725,0.092
40286000,8,-7.16509,6725.71,0.243596,0.093
40288000,8,-11.2838,6719.99,1.25694,0.0805
40290000,7,-6.53049,6668.92,1.08216,0.0848333
40292000,8,-7.84491,6721.93,0.290918,0.0875
