"tree.rep" "index" "r" "epsilon" "lnLik.part" "tip"
970 224 0.205957293510437 0.584535241127014 -6.26009504521811 "y"
969 355 0.201592254638672 0.563492584228516 -6.20125445485433 "y"
969 299 0.234919357299805 0.513852310180664 -6.30578881826191 "y"
969 231 0.174246764183044 0.528304493427277 -4.79546819469709 "y"
969 377 0.222176271677017 0.569379729032517 -4.19860377875533 "y"
969 224 0.204229220654815 0.553721254784614 -6.26009507687454 "y"
968 231 0.175387954711914 0.573821830749512 -4.79546835700399 "y"
968 377 0.219026693701744 0.586271765828133 -4.19860370352783 "y"
968 258 0.144580910506193 0.564739073708188 -5.83230314051475 "y"
968 355 0.199200820922852 0.578889083862305 -6.20125442949328 "y"
968 299 0.240894773602486 0.516150030493737 -6.30578841007326 "y"
968 224 0.208568762737559 0.576318108843407 -6.26009509772697 "y"
967 355 0.196822261810303 0.564848804473877 -6.20125482756091 "y"
967 299 0.231877553462982 0.531189072132111 -6.30578843499749 "y"
967 258 0.145954751968384 0.54156985282898 -5.832303298744 "y"
967 377 0.241480356454849 0.528775137662888 -4.19860369337741 "y"
967 224 0.218418238684535 0.542734510079026 -6.26009512587205 "y"
966 355 0.194243718497455 0.582113827206195 -6.2012545317738 "y"
966 258 0.145620516734198 0.566811809083447 -5.83230311505057 "y"
966 224 0.257678911089897 0.522419181466103 -6.26009518715198 "y"
965 355 0.204981181770563 0.572844713181258 -6.20125450462385 "y"
965 224 0.236272251605988 0.518400418758393 -6.26009514565375 "y"
964 355 0.193284343089908 0.54887878568843 -6.201254612486 "y"
964 224 0.239310819655657 0.511183758825064 -6.26009537872644 "y"
963 214 0.160030880011618 0.572670303378254 -5.13515590644733 "y"
963 355 0.180085754394531 0.593376922607422 -6.20125881967509 "y"
963 224 0.256244738772512 0.544615894183517 -6.26009510826946 "y"
962 214 0.165387725830078 0.55683708190918 -5.13515590367187 "y"
962 231 0.18352490067482 0.553756746649742 -4.79546816086259 "y"
962 355 0.191811609268189 0.5460853099823 -6.20125511961612 "y"
962 224 0.242253863811493 0.572516787052155 -6.26009510481201 "y"
961 214 0.162333202362061 0.565453767776489 -5.13515589118215 "y"
961 231 0.190261359140277 0.54172159768641 -4.79546818572988 "y"
961 355 0.191969104483724 0.546172481402755 -6.20125452708444 "y"
961 224 0.242654418945313 0.566586303710938 -6.26009509631433 "y"
960 377 0.259419727325439 0.543421840667725 -4.19860369516343 "y"
960 355 0.191910978034139 0.597887843474746 -6.20125445884682 "y"
960 224 0.260794830322266 0.524584197998047 -6.2600952329873 "y"
959 355 0.198108673095703 0.57877426147461 -6.20125447081158 "y"
959 299 0.233289357693866 0.540938145434484 -6.30578837304942 "y"
959 224 0.249720764160156 0.498136901855469 -6.26009510111437 "y"
958 224 0.255392814055085 0.550217444822192 -6.26009509251282 "y"
957 355 0.217408009245992 0.524072885140777 -6.20125447569358 "y"
957 299 0.223197489976883 0.548178094625473 -6.30578836773111 "y"
957 224 0.252033421397209 0.537613525986672 -6.26009523837059 "y"
956 299 0.205728909187019 0.568934222497046 -6.30578851040807 "y"
956 224 0.242633549869061 0.507326509058476 -6.26009603541126 "y"
955 355 0.203603459557053 0.572292602912058 -6.20125498231181 "y"
955 224 0.249408721923828 0.498104095458984 -6.26009552596266 "y"
954 224 0.240764297265559 0.544216693099588 -6.26009504378112 "y"
953 231 0.200923916697502 0.54628190100193 -4.7954681505603 "y"
953 224 0.250957995653153 0.526351445913315 -6.26009503074173 "y"
952 231 0.189580899477005 0.527666571736336 -4.79546840513411 "y"
952 224 0.255971527099609 0.530377960205078 -6.26009504604632 "y"
951 299 0.224455642700195 0.564272689819336 -6.30578838530208 "y"
951 224 0.232022449374199 0.525994887948037 -6.26009553839556 "y"
950 231 0.187127470970154 0.543506276607513 -4.79546815660429 "y"
950 224 0.237302281847224 0.523259302647785 -6.26009502990804 "y"
949 231 0.192343246121891 0.59337893219199 -4.7954681736525 "y"
949 224 0.226292642508634 0.542100829794072 -6.26009507908453 "y"
948 299 0.216453147307038 0.567832721397281 -6.30578928465842 "y"
948 224 0.262462764978409 0.54301010966301 -6.26009506314552 "y"
947 139 0.174933552742004 0.572886216640473 -4.92195733701281 "y"
947 377 0.270770525932312 0.58644894361496 -4.19860376438402 "y"
947 224 0.255529805272818 0.525390554219485 -6.26009509731455 "y"
946 377 0.306291198730469 0.528691864013672 -4.19860369671064 "y"
946 224 0.26048712679185 0.555958019895479 -6.26009511905157 "y"
945 377 0.22756279706955 0.548193228244782 -4.19860370627097 "y"
945 139 0.183002817630768 0.552161973714828 -4.92195702996948 "y"
945 224 0.261334361881018 0.548552615195513 -6.26009504398768 "y"
944 224 0.259024047851563 0.541574096679688 -6.26009571535679 "y"
943 377 0.251938717719168 0.50285982536152 -4.19860380037438 "y"
943 231 0.197465001791716 0.550750754028559 -4.79546816664762 "y"
943 299 0.224921279214323 0.560716602392495 -6.30578852499745 "y"
943 224 0.26648006439209 0.581878757476807 -6.26009569312684 "y"
942 299 0.226038391888142 0.543820236623287 -6.30578836666917 "y"
942 377 0.244651126395911 0.5608767808415 -4.19860369344558 "y"
942 231 0.204250692075584 0.585699345532339 -4.79546818924294 "y"
942 224 0.267745018005371 0.580233097076416 -6.26009545488411 "y"
941 377 0.238309595594183 0.552914670435712 -4.19860382054451 "y"
941 224 0.254532015323639 0.583281600475312 -6.26009505558181 "y"
940 299 0.21088844537735 0.566853797435761 -6.30578837093099 "y"
940 224 0.260157752037048 0.5542720079422 -6.26009506063877 "y"
939 299 0.218268137564883 0.548035818012431 -6.30578836326958 "y"
939 224 0.258776181936264 0.585294896364212 -6.26009613124823 "y"
938 299 0.206340498942882 0.573165566381067 -6.30578840344304 "y"
938 224 0.242041397094727 0.574067306518555 -6.26009509175405 "y"
937 299 0.207379150390625 0.583660888671875 -6.30578852587854 "y"
937 377 0.257206606119871 0.541251239925623 -4.19860384430361 "y"
937 224 0.228173160552979 0.555207347869873 -6.260095029382 "y"
936 299 0.218747395789251 0.524826559470967 -6.30578835518038 "y"
936 377 0.25777587890625 0.54071044921875 -4.19860400560909 "y"
936 224 0.23223818319384 0.527150864969008 -6.26009511696188 "y"
935 224 0.225944626331329 0.561053407192231 -6.26009512365249 "y"
934 377 0.269297359883785 0.529463882744312 -4.19860376883564 "y"
934 224 0.219537578523159 0.568539579212666 -6.26009504788479 "y"
933 377 0.311466544866562 0.551810827851296 -4.1986037013511 "y"
933 224 0.236217522621155 0.522265696525574 -6.26009511067705 "y"
932 377 0.310163116455078 0.54420280456543 -4.19860371687543 "y"
932 224 0.242169964313507 0.567473447322846 -6.26009514419283 "y"
931 63 0.35516470912844 0.597157849185169 -5.84811445972346 "y"
