"i","lambda0","lambda1","mu0","mu1","q01","q10","p"
55,0.113448529904135,0.142610973581773,0.0174700521812801,0.0201232735055825,0.000488269697882933,0.00370574817640685,-1607.68679988243
56,0.124538570713476,0.169950591728309,0.0226793127828782,0.0301735811860224,0.000492628060816092,0.00554840402313274,-1607.74068091271
57,0.120431675811994,0.157118180894745,0.0210958073396849,0.0182733350745422,0.000115714493629982,0.0028968472631791,-1607.27810230895
58,0.114343285382685,0.161091102020802,0.00442796255372485,0.026303826065731,0.000681809525954082,0.00631048524617496,-1607.96550975874
59,0.109553007649391,0.160090186188744,0.0133137945447152,0.0448239631179353,0.000656263182261194,0.0032714397197717,-1609.31930052952
60,0.113055975310173,0.185737183286145,0.0096826531802493,0.0553009231013182,0.000419223053681257,0.00807904031965198,-1606.15501623972
61,0.11323596783421,0.192479560487113,0.00896379889304518,0.080929659259527,0.000226099720352074,0.0121728980720576,-1610.99468581598
62,0.108540920127232,0.219783570887776,0.0104061021999509,0.0586437682522371,0.000557688704615345,0.0135538294559726,-1610.19081195897
63,0.111115701338094,0.193574332300636,0.00840596346640543,0.0496432972775437,0.00054755091276063,0.0121510733625305,-1606.89736729401
64,0.110559522826283,0.193225958439418,0.00968721982108625,0.0232139650415007,0.000305572357698481,0.00879212446457423,-1606.18318178451
65,0.106819824639216,0.200273511505755,0.00564975060824399,0.0382988042713752,0.000316086032764273,0.00972056004007944,-1605.83457443037
66,0.106458951441702,0.194347711208852,0.000692124040996505,0.0367780887024091,0.000334957885839508,0.00337502357889846,-1604.95923530197
67,0.103556116519243,0.179625764408284,0.000980118095456482,0.0597996297893953,0.000470661012963471,0.00699369355501216,-1605.25462012477
68,0.102448907645827,0.217256633400935,0.000334457635430163,0.100842215319179,0.000694654288096435,0.00802212396874897,-1607.85632726955
69,0.103903694858815,0.250103755161216,0.000981284708974381,0.134341912430864,0.000233588563035934,0.00379337812867809,-1609.04660499936
70,0.106171389424665,0.264014474877319,0.00411567467871298,0.133553055165229,0.00053292549129672,0.00493907484903824,-1609.14676455621
71,0.106177656781684,0.268847450418937,0.00670831563447875,0.121418693287453,0.000419972697858566,0.00419773016775686,-1610.69490005844
72,0.106309512728954,0.27380023294514,0.00682116387562436,0.178241436201857,0.000405598967876856,0.00389350866171079,-1612.93282265006
73,0.111462635895261,0.285741117715274,0.00540996623302645,0.147314897616769,0.000256621702267576,0.00978787114093468,-1613.09400375524
