"i","lambda0","lambda1","mu0","mu1","q01","q10","p"
53,0.110087549715249,0.176182392012472,0.00883109695419103,0.00196900028631488,0.00012516850944689,0.00852895108946616,-1603.79870150446
54,0.11076069050916,0.176423911886002,0.00269691943868959,0.0273133805304475,0.000622624144050103,0.00565398717841761,-1604.02126850068
55,0.108180786464718,0.173457471021381,0.00855656951080832,0.0233433557266839,0.000218929437420528,0.00622484398954737,-1603.15573720991
56,0.112497915704884,0.177782940353062,0.00753442812541423,0.020962850631224,0.000445378841197812,0.00296061063485839,-1603.64940125401
57,0.110478394294839,0.177621580457807,0.00868744327371055,0.0202561969757912,0.000473507802150721,0.00738728393378356,-1603.12305034158
58,0.115569321680072,0.172707997486686,0.0183320490862356,0.00997292313156473,0.000465332808822261,0.00343052153896227,-1605.45880457691
59,0.114552998666783,0.155845581889802,0.0150648416711624,0.0142644591927434,0.000300494600536425,0.0120014328006943,-1604.88934692482
60,0.114180402123549,0.18598137936258,0.0138276719528577,0.0348792537378769,0.000260480769236788,0.0103710358063094,-1604.81344630542
61,0.110316957768729,0.176085940232713,0.0157820864223217,0.0284204376008522,0.000352106122460204,0.00683384341667036,-1606.29860075038
62,0.120837940648315,0.19104338468068,0.0222915741550586,0.0327553319769747,0.000442302262154763,0.00567469223151714,-1606.02871070783
63,0.119858073224089,0.180578692772303,0.0178724121423869,0.0272380880366536,0.000518958341078206,0.00628542790449772,-1605.21432226407
64,0.120051136893647,0.183948907217395,0.0211711890967313,0.033421013606413,0.000265846461548982,0.00754982388279259,-1605.26493289188
65,0.121576230749296,0.182766935672506,0.0196891803200158,0.0011166691343476,0.000255271877727062,0.0053132086618421,-1606.00978803955
